k,home_advantage,goals_scale,brier
40,50,0.25,0.6105357901105753
50,50,0.25,0.6105398541598072
32,50,0.25,0.6111452393384356
50,50,0.2,0.6112131393860593
32,50,0.3,0.611483660903766
40,50,0.3,0.6116257247968703
40,50,0.2,0.6119391588530283
25,50,0.3,0.6120878860928911
25,50,0.25,0.6124110384164242
50,50,0.3,0.6125629262782056
32,50,0.2,0.613095835615581
20,50,0.3,0.6132369993876552
20,50,0.25,0.614025629175356
25,50,0.2,0.6147961734424833
50,50,0.15,0.6150493293307538
15,50,0.3,0.6154867970533083
50,75,0.2,0.615688708891192
40,50,0.15,0.6162112789269416
40,75,0.2,0.6164135681028076
20,50,0.2,0.6166708029921237
15,50,0.25,0.6167020361746676
50,75,0.25,0.6170982234720394
40,75,0.25,0.617130239145503
32,75,0.2,0.6175729473094987
32,50,0.15,0.6176361978722351
50,75,0.15,0.6176769498471761
32,75,0.25,0.6177718367643035
40,75,0.15,0.6188351093134429
25,75,0.25,0.6190756274932667
25,75,0.2,0.6192839193453348
25,50,0.15,0.6194759681554571
15,50,0.2,0.6195120336649566
32,75,0.15,0.6202625069339878
32,75,0.3,0.6204287233394075
40,75,0.3,0.620465806493846
20,75,0.25,0.6207300074465543
50,100,0.15,0.6210388223681663
25,75,0.3,0.6211414232800083
20,75,0.2,0.6211761737954551
50,75,0.3,0.6212813615823761
20,50,0.15,0.6213542860865108
50,100,0.2,0.6215168994882408
25,75,0.15,0.6221130723262265
40,100,0.15,0.6221846409447629
40,100,0.2,0.6222247671634838
20,75,0.3,0.6223876794137453
50,50,0.1,0.6224371198681619
32,100,0.2,0.6233772250757442
15,75,0.25,0.6234654318555429
32,100,0.15,0.6236106910368188
50,75,0.1,0.6236146355268515
40,50,0.1,0.6236584630783633
20,75,0.15,0.6240082863836134
15,50,0.15,0.6240454882392258
15,75,0.2,0.624049975043916
15,75,0.3,0.6247635378824259
40,75,0.1,0.6248444394861576
32,50,0.1,0.6250070433251951
50,100,0.1,0.6250572568032277
25,100,0.2,0.6250948213491064
50,125,0.15,0.6251099533729373
25,100,0.15,0.6254728297293571
50,100,0.25,0.6257065909439341
40,100,0.25,0.6257608145428092
32,75,0.1,0.6262062422861161
40,125,0.15,0.6262371985494868
40,100,0.1,0.6262967394647144
32,100,0.25,0.6264271839596479
25,50,0.1,0.6266330280171034
15,75,0.15,0.6267292848039666
50,125,0.1,0.6267658377089876
20,100,0.2,0.6270063415484297
20,100,0.15,0.6273895773334194
32,125,0.15,0.6276598517687574
32,100,0.1,0.6276755344573037
25,100,0.25,0.6277678858739631
25,75,0.1,0.6278521805943442
40,125,0.1,0.6280161153698023
20,50,0.1,0.6282163695724182
50,125,0.2,0.6286066884287979
50,150,0.1,0.6287426541532144
40,125,0.2,0.6292895151054883
25,100,0.1,0.6293483472319839
32,125,0.1,0.6294155132680043
20,75,0.1,0.6294578376972113
20,100,0.25,0.6294667462194762
25,125,0.15,0.6295358483173608
50,150,0.15,0.629862943730842
15,100,0.2,0.6299204955944603
40,150,0.1,0.6300046194951867
15,100,0.15,0.6301504646056041
15,50,0.1,0.6303997946887591
32,125,0.2,0.6304318625438592
40,150,0.15,0.6309680110822132
20,100,0.1,0.6309847164956275
25,125,0.1,0.6311219239491659
32,150,0.1,0.6314279602118636
20,125,0.15,0.631479748141828
15,75,0.1,0.631674249996567
40,100,0.3,0.6320692556345783
32,100,0.3,0.6321438311484375
25,125,0.2,0.6321579375447816
15,100,0.25,0.6322732875258289
32,150,0.15,0.6323872468069517
50,100,0.3,0.6327622922216507
20,125,0.1,0.632797177587205
25,100,0.3,0.6329788686534825
25,150,0.1,0.6331743720902222
15,100,0.1,0.6332470006772423
20,125,0.2,0.6340946492203092
25,150,0.15,0.6342810904904352
15,125,0.15,0.6342913359638389
20,100,0.3,0.6343399837549614
20,150,0.1,0.634896328036537
15,125,0.1,0.63511779249784
50,125,0.25,0.6361549501135985
40,125,0.25,0.6362331351048586
20,150,0.15,0.6362588315737748
50,150,0.2,0.6368549849609816
15,100,0.3,0.6368699433384908
32,125,0.25,0.6369303945727411
15,125,0.2,0.6370611098280843
15,150,0.1,0.6372871016611424
40,150,0.2,0.637513532608428
25,125,0.25,0.6383197259796902
32,150,0.2,0.638649936018272
15,150,0.15,0.6391326419646418
20,125,0.25,0.6400775446377005
25,150,0.2,0.6403930699501956
20,150,0.2,0.6423657948300707
15,125,0.25,0.6429775077698493
15,150,0.2,0.6454012394198138
40,125,0.3,0.6460746357948598
32,125,0.3,0.6462884907762475
50,125,0.3,0.6466209426222846
25,125,0.3,0.6472802824894424
50,150,0.25,0.6482070011150521
40,150,0.25,0.648327889183594
20,125,0.3,0.6487902284165632
32,150,0.25,0.6490769909100746
25,150,0.25,0.6505408477068847
15,125,0.3,0.6515199685051473
20,150,0.25,0.6523829873071192
15,150,0.25,0.6554100399078275
40,150,0.3,0.6620806143953412
50,150,0.3,0.662432189674539
32,150,0.3,0.6624829854010861
25,150,0.3,0.6636874016583671
20,150,0.3,0.6653972653853343
15,150,0.3,0.6683911406340833
